Match Number,Round Number,Date,Location,Home Team,Away Team,Result
210,24,12/02/2023 16:00,Gaziantep Stadium,Gaziantep,Galatasaray,
211,24,12/02/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Sivasspor,
212,24,12/02/2023 16:00,Vodafone Park,Besiktas,Ankaragücü,
213,24,12/02/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Istanbul Basaksehir,
214,24,12/02/2023 16:00,Kadir Has Stadium,Kayserispor,Fenerbahçe,
215,24,12/02/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Giresunspor,
216,24,12/02/2023 16:00,New Adana Stadium,Adana Demirspor,Hatayspor,
217,25,19/02/2023 16:00,Eryaman Stadium,Ankaragücü,Alanyaspor,
218,25,19/02/2023 16:00,Çotanak Sports Complex,Giresunspor,Fatih Karagümrük,
219,25,19/02/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Besiktas,
220,25,19/02/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Sivasspor,
221,25,19/02/2023 16:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Gaziantep,
222,25,19/02/2023 16:00,Senol Günes Sports Complex,Trabzonspor,Adana Demirspor,
223,25,19/02/2023 16:00,Nef Stadium,Galatasaray,Kasimpasa,
224,25,19/02/2023 16:00,New Hatay Stadium,Hatayspor,Konyaspor,
225,25,19/02/2023 16:00,Antalya Stadium,Antalyaspor,Kayserispor,
226,26,26/02/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Ankaragücü,
227,26,26/02/2023 16:00,New Adana Stadium,Adana Demirspor,Antalyaspor,
228,26,26/02/2023 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Ümraniyespor,
229,26,26/02/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Galatasaray,
230,26,26/02/2023 16:00,Gaziantep Stadium,Gaziantep,Trabzonspor,
231,26,26/02/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Istanbul Basaksehir,
232,26,26/02/2023 16:00,Vodafone Park,Besiktas,Istanbulspor,
233,26,26/02/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Fenerbahçe,
234,26,26/02/2023 16:00,Kadir Has Stadium,Kayserispor,Hatayspor,
235,27,05/03/2023 16:00,Çotanak Sports Complex,Giresunspor,Alanyaspor,
236,27,05/03/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Fatih Karagümrük,
237,27,05/03/2023 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Besiktas,
238,27,05/03/2023 16:00,New Hatay Stadium,Hatayspor,Sivasspor,
239,27,05/03/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Ankaragücü,
240,27,05/03/2023 16:00,Nef Stadium,Galatasaray,Adana Demirspor,
