Match Number,Round Number,Date,Location,Home Team,Away Team,Result
86,10,17/10/2022 20:00,Eryaman Stadium,Ankaragücü,Fenerbahçe,
91,11,21/10/2022 20:00,Antalya Stadium,Antalyaspor,Istanbulspor,
92,11,22/10/2022 14:30,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Fatih Karagümrük,
94,11,22/10/2022 17:00,Senol Günes Sports Complex,Trabzonspor,Sivasspor,
97,11,22/10/2022 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Istanbul Basaksehir,
96,11,23/10/2022 14:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Kayserispor,
95,11,23/10/2022 17:00,New Adana Stadium,Adana Demirspor,Konyaspor,
93,11,23/10/2022 20:00,Nef Stadium,Galatasaray,Alanyaspor,
98,11,24/10/2022 20:00,Çotanak Sports Complex,Giresunspor,Ankaragücü,
99,11,24/10/2022 20:00,New Hatay Stadium,Hatayspor,Besiktas,
102,12,28/10/2022 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Galatasaray,
107,12,29/10/2022 14:30,Konya Metropolitan Municipality Stadium,Konyaspor,Kasimpasa,
101,12,29/10/2022 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Gaziantep,
104,12,30/10/2022 14:30,Eryaman Stadium,Ankaragücü,Hatayspor,
103,12,30/10/2022 17:00,Vodafone Park,Besiktas,Ümraniyespor,
108,12,30/10/2022 17:00,Kadir Has Stadium,Kayserispor,Adana Demirspor,
106,12,30/10/2022 20:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Fenerbahçe,
100,12,31/10/2022 20:00,New Sivas 4 Eylül Stadium,Sivasspor,Antalyaspor,
105,12,31/10/2022 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Giresunspor,
110,13,04/11/2022 20:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Alanyaspor,
114,13,04/11/2022 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Ankaragücü,
116,13,05/11/2022 14:30,Çotanak Sports Complex,Giresunspor,Istanbulspor,
111,13,05/11/2022 20:00,Nef Stadium,Galatasaray,Besiktas,
113,13,06/11/2022 14:30,Gaziantep Stadium,Gaziantep,Kayserispor,
109,13,06/11/2022 17:00,Antalya Stadium,Antalyaspor,Fatih Karagümrük,
