Match Number,Round Number,Date,Location,Home Team,Away Team,Result
121,21,17/03/2023 08:45,Coopers Stadium,Adelaide United,Wellington Phoenix,
122,21,18/03/2023 06:00,McDonald Jones Stadium,Newcastle Jets,Perth Glory,
123,21,18/03/2023 06:00,Moreton Daily Stadium,Brisbane Roar FC,Western United FC,
124,21,18/03/2023 08:45,Allianz Stadium,Sydney FC,Western Sydney Wanderers FC,
125,21,19/03/2023 04:00,Campbelltown Stadium,Macarthur FC,Melbourne City FC,
126,21,19/03/2023 06:00,AAMI Park,Melbourne Victory,Central Coast Mariners,
127,22,31/03/2023 08:45,CommBank Stadium,Western Sydney Wanderers FC,Adelaide United,
128,22,01/04/2023 02:00,Sky Stadium,Wellington Phoenix,Melbourne Victory,
129,22,01/04/2023 06:00,Central Coast Stadium,Central Coast Mariners,Brisbane Roar FC,
130,22,01/04/2023 08:45,Allianz Stadium,Sydney FC,Western United FC,
131,22,01/04/2023 10:00,Macedonia Park,Perth Glory,Macarthur FC,
132,22,02/04/2023 05:00,AAMI Park,Melbourne City FC,Newcastle Jets,
133,23,07/04/2023 07:00,Mars Stadium,Western United FC,Central Coast Mariners,
134,23,07/04/2023 09:45,Coopers Stadium,Adelaide United,Sydney FC,
135,23,08/04/2023 07:00,Moreton Daily Stadium,Brisbane Roar FC,Newcastle Jets,
136,23,08/04/2023 09:45,Campbelltown Stadium,Macarthur FC,Western Sydney Wanderers FC,
137,23,09/04/2023 05:00,AAMI Park,Melbourne Victory,Perth Glory,
138,23,10/04/2023 06:00,AAMI Park,Melbourne City FC,Wellington Phoenix,
139,24,14/04/2023 09:45,McDonald Jones Stadium,Newcastle Jets,Macarthur FC,
140,24,15/04/2023 07:00,Central Coast Stadium,Central Coast Mariners,Melbourne City FC,
141,24,15/04/2023 09:45,CommBank Stadium,Western Sydney Wanderers FC,Melbourne Victory,
142,24,16/04/2023 03:00,Sky Stadium,Wellington Phoenix,Brisbane Roar FC,
143,24,16/04/2023 05:00,Allianz Stadium,Sydney FC,Perth Glory,
144,24,16/04/2023 07:00,Coopers Stadium,Adelaide United,Western United FC,
145,25,21/04/2023 09:45,CommBank Stadium,Western Sydney Wanderers FC,Wellington Phoenix,
146,25,22/04/2023 07:00,McDonald Jones Stadium,Newcastle Jets,Central Coast Mariners,
147,25,22/04/2023 09:45,TBA,Western United FC,Melbourne City FC,
148,25,23/04/2023 05:00,AAMI Park,Melbourne Victory,Macarthur FC,
149,25,23/04/2023 08:00,HBF Park,Perth Glory,Adelaide United,
150,25,24/04/2023 09:00,Suncorp Stadium,Brisbane Roar FC,Sydney FC,
151,26,28/04/2023 09:45,AAMI Park,Melbourne City FC,Western Sydney Wanderers FC,
152,26,29/04/2023 07:00,Allianz Stadium,Sydney FC,Newcastle Jets,
153,26,29/04/2023 07:00,Coopers Stadium,Adelaide United,Central Coast Mariners,
154,26,29/04/2023 09:45,AAMI Park,Melbourne Victory,Brisbane Roar FC,
155,26,29/04/2023 12:00,HBF Park,Perth Glory,Western United FC,
156,26,30/04/2023 07:00,Campbelltown Stadium,Macarthur FC,Wellington Phoenix,
157,Elimination Finals,06/05/2023 00:00,TBA,To be announced,To be announced,
158,Elimination Finals,07/05/2023 00:00,TBA,To be announced,To be announced,
159,Semi Finals - Leg 1,13/05/2023 00:00,TBA,To be announced,To be announced,
160,Semi Finals - Leg 1,14/05/2023 00:00,TBA,To be announced,To be announced,
161,Semi Finals - Leg 2,20/05/2023 00:00,TBA,To be announced,To be announced,
162,Semi Finals - Leg 2,21/05/2023 00:00,TBA,To be announced,To be announced,
163,Grand Final,28/05/2023 00:00,TBA,To be announced,To be announced,
