Match Number,Round Number,Date,Location,Home Team,Away Team,Result
304,31,23/04/2023 15:00,Juventus Stadium,Juventus,Napoli,
305,31,23/04/2023 15:00,Olimpico,Lazio,Torino,
306,31,23/04/2023 15:00,San Siro,Milan,Lecce,
307,31,23/04/2023 15:00,Brianteo,Monza,Fiorentina,
308,31,23/04/2023 15:00,Arechi,Salernitana,Sassuolo,
309,31,23/04/2023 15:00,Luigi Ferraris,Sampdoria,Spezia,
310,31,23/04/2023 15:00,Friuli,Udinese,Cremonese,
311,32,30/04/2023 15:00,Renato Dall'Ara,Bologna,Juventus,
312,32,30/04/2023 15:00,Giovanni Zini,Cremonese,Hellas Verona,
313,32,30/04/2023 15:00,Artemio Franchi,Fiorentina,Sampdoria,
314,32,30/04/2023 15:00,San Siro,Inter,Lazio,
315,32,30/04/2023 15:00,Via del mare,Lecce,Udinese,
316,32,30/04/2023 15:00,Diego Armando Maradona,Napoli,Salernitana,
317,32,30/04/2023 15:00,Olimpico,Roma,Milan,
318,32,30/04/2023 15:00,Città del Tricolore,Sassuolo,Empoli,
319,32,30/04/2023 15:00,Alberto Picco,Spezia,Monza,
320,32,30/04/2023 15:00,Olimpico Grande Torino,Torino,Atalanta,
321,33,03/05/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Spezia,
322,33,03/05/2023 15:00,Carlo Castellani,Empoli,Bologna,
323,33,03/05/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Inter,
324,33,03/05/2023 15:00,Juventus Stadium,Juventus,Lecce,
325,33,03/05/2023 15:00,Olimpico,Lazio,Sassuolo,
326,33,03/05/2023 15:00,San Siro,Milan,Cremonese,
327,33,03/05/2023 15:00,Brianteo,Monza,Roma,
328,33,03/05/2023 15:00,Arechi,Salernitana,Fiorentina,
329,33,03/05/2023 15:00,Luigi Ferraris,Sampdoria,Torino,
330,33,03/05/2023 15:00,Friuli,Udinese,Napoli,
331,34,07/05/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Juventus,
332,34,07/05/2023 15:00,Giovanni Zini,Cremonese,Spezia,
333,34,07/05/2023 15:00,Carlo Castellani,Empoli,Salernitana,
334,34,07/05/2023 15:00,Via del mare,Lecce,Hellas Verona,
335,34,07/05/2023 15:00,San Siro,Milan,Lazio,
336,34,07/05/2023 15:00,Diego Armando Maradona,Napoli,Fiorentina,
337,34,07/05/2023 15:00,Olimpico,Roma,Inter,
338,34,07/05/2023 15:00,Città del Tricolore,Sassuolo,Bologna,
339,34,07/05/2023 15:00,Olimpico Grande Torino,Torino,Monza,
340,34,07/05/2023 15:00,Friuli,Udinese,Sampdoria,
341,35,14/05/2023 15:00,Renato Dall'Ara,Bologna,Roma,
342,35,14/05/2023 15:00,Artemio Franchi,Fiorentina,Udinese,
343,35,14/05/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Torino,
344,35,14/05/2023 15:00,San Siro,Inter,Sassuolo,
345,35,14/05/2023 15:00,Juventus Stadium,Juventus,Cremonese,
346,35,14/05/2023 15:00,Olimpico,Lazio,Lecce,
347,35,14/05/2023 15:00,Brianteo,Monza,Napoli,
348,35,14/05/2023 15:00,Arechi,Salernitana,Atalanta,
349,35,14/05/2023 15:00,Luigi Ferraris,Sampdoria,Empoli,
350,35,14/05/2023 15:00,Alberto Picco,Spezia,Milan,
351,36,21/05/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Hellas Verona,
352,36,21/05/2023 15:00,Giovanni Zini,Cremonese,Bologna,
353,36,21/05/2023 15:00,Carlo Castellani,Empoli,Juventus,
354,36,21/05/2023 15:00,Via del mare,Lecce,Spezia,
355,36,21/05/2023 15:00,San Siro,Milan,Sampdoria,
356,36,21/05/2023 15:00,Diego Armando Maradona,Napoli,Inter,
357,36,21/05/2023 15:00,Olimpico,Roma,Salernitana,
358,36,21/05/2023 15:00,Città del Tricolore,Sassuolo,Monza,
359,36,21/05/2023 15:00,Olimpico Grande Torino,Torino,Fiorentina,
360,36,21/05/2023 15:00,Friuli,Udinese,Lazio,
361,37,28/05/2023 15:00,Renato Dall'Ara,Bologna,Napoli,
362,37,28/05/2023 15:00,Artemio Franchi,Fiorentina,Roma,
363,37,28/05/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Empoli,
364,37,28/05/2023 15:00,San Siro,Inter,Atalanta,
365,37,28/05/2023 15:00,Juventus Stadium,Juventus,Milan,
366,37,28/05/2023 15:00,Olimpico,Lazio,Cremonese,
367,37,28/05/2023 15:00,Brianteo,Monza,Lecce,
368,37,28/05/2023 15:00,Arechi,Salernitana,Udinese,
369,37,28/05/2023 15:00,Luigi Ferraris,Sampdoria,Sassuolo,
370,37,28/05/2023 15:00,Alberto Picco,Spezia,Torino,
371,38,04/06/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Monza,
372,38,04/06/2023 15:00,Giovanni Zini,Cremonese,Salernitana,
373,38,04/06/2023 15:00,Carlo Castellani,Empoli,Lazio,
374,38,04/06/2023 15:00,Via del mare,Lecce,Bologna,
375,38,04/06/2023 15:00,San Siro,Milan,Hellas Verona,
376,38,04/06/2023 15:00,Diego Armando Maradona,Napoli,Sampdoria,
377,38,04/06/2023 15:00,Olimpico,Roma,Spezia,
378,38,04/06/2023 15:00,Città del Tricolore,Sassuolo,Fiorentina,
379,38,04/06/2023 15:00,Olimpico Grande Torino,Torino,Inter,
380,38,04/06/2023 15:00,Friuli,Udinese,Juventus,
