Match Number,Round Number,Date,Location,Home Team,Away Team,Result
233,24,19/02/2023 15:00,Stade Bollaert-Delelis,RC Lens,FC Nantes,
234,24,19/02/2023 15:00,Stade du Moustoir,FC Lorient,AC Ajaccio,
235,24,19/02/2023 15:00,Stade de Nice,OGC Nice,Stade de Reims,
236,24,19/02/2023 15:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,
237,24,19/02/2023 15:00,Roazhon Park,Stade Rennais FC,Clermont Foot 63,
238,24,19/02/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,
239,24,19/02/2023 15:00,Stadium de Toulouse,Toulouse FC,Olympique de Marseille,
240,24,19/02/2023 15:00,Stade de l'Aube,ESTAC Troyes,Montpellier Hérault SC,
241,25,26/02/2023 15:00,Stade François Coty,AC Ajaccio,ESTAC Troyes,
242,25,26/02/2023 15:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,
243,25,26/02/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,RC Strasbourg Alsace,
244,25,26/02/2023 15:00,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,
245,25,26/02/2023 15:00,Stade du Moustoir,FC Lorient,AJ Auxerre,
246,25,26/02/2023 15:00,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,
247,25,26/02/2023 15:00,Stade Louis II,AS Monaco,OGC Nice,
248,25,26/02/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,
249,25,26/02/2023 15:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,
250,25,26/02/2023 15:00,Stade Auguste-Delaune,Stade de Reims,Toulouse FC,
251,26,05/03/2023 15:00,Stade Bollaert-Delelis,RC Lens,LOSC Lille,
252,26,05/03/2023 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Lorient,
253,26,05/03/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,
254,26,05/03/2023 15:00,Stade de Nice,OGC Nice,AJ Auxerre,
255,26,05/03/2023 15:00,Parc des Princes,Paris Saint-Germain,FC Nantes,
256,26,05/03/2023 15:00,Stade Auguste-Delaune,Stade de Reims,AC Ajaccio,
257,26,05/03/2023 15:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,
258,26,05/03/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,
259,26,05/03/2023 15:00,Stadium de Toulouse,Toulouse FC,Clermont Foot 63,
260,26,05/03/2023 15:00,Stade de l'Aube,ESTAC Troyes,AS Monaco,
261,27,12/03/2023 15:00,Stade François Coty,AC Ajaccio,Montpellier Hérault SC,
262,27,12/03/2023 15:00,Stade Raymond Kopa,Angers SCO,Toulouse FC,
263,27,12/03/2023 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Rennais FC,
264,27,12/03/2023 15:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,
265,27,12/03/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,RC Lens,
266,27,12/03/2023 15:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,
267,27,12/03/2023 15:00,Stade du Moustoir,FC Lorient,ESTAC Troyes,
268,27,12/03/2023 15:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,
269,27,12/03/2023 15:00,Stade Louis II,AS Monaco,Stade de Reims,
270,27,12/03/2023 15:00,Stade de la Beaujoire,FC Nantes,OGC Nice,
271,28,19/03/2023 15:00,Stade François Coty,AC Ajaccio,AS Monaco,
272,28,19/03/2023 15:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,
273,28,19/03/2023 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Nantes,
274,28,19/03/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,Clermont Foot 63,
275,28,19/03/2023 15:00,Stade de Nice,OGC Nice,FC Lorient,
276,28,19/03/2023 15:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,
277,28,19/03/2023 15:00,Stade Auguste-Delaune,Stade de Reims,Olympique de Marseille,
278,28,19/03/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,AJ Auxerre,
279,28,19/03/2023 15:00,Stadium de Toulouse,Toulouse FC,LOSC Lille,
280,28,19/03/2023 15:00,Stade de l'Aube,ESTAC Troyes,Stade Brestois 29,
281,29,02/04/2023 15:00,Stade Raymond Kopa,Angers SCO,OGC Nice,
282,29,02/04/2023 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,ESTAC Troyes,
283,29,02/04/2023 15:00,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,
284,29,02/04/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,AC Ajaccio,
285,29,02/04/2023 15:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,
286,29,02/04/2023 15:00,Stade Vélodrome,Olympique de Marseille,Montpellier Hérault SC,
287,29,02/04/2023 15:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,
288,29,02/04/2023 15:00,Stade de la Beaujoire,FC Nantes,Stade de Reims,
289,29,02/04/2023 15:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,
290,29,02/04/2023 15:00,Roazhon Park,Stade Rennais FC,RC Lens,
291,30,09/04/2023 15:00,Stade François Coty,AC Ajaccio,AJ Auxerre,
292,30,09/04/2023 15:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,
293,30,09/04/2023 15:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,
294,30,09/04/2023 15:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,
295,30,09/04/2023 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,
296,30,09/04/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,Toulouse FC,
297,30,09/04/2023 15:00,Stade de la Beaujoire,FC Nantes,AS Monaco,
298,30,09/04/2023 15:00,Stade de Nice,OGC Nice,Paris Saint-Germain,
299,30,09/04/2023 15:00,Stade Auguste-Delaune,Stade de Reims,Stade Brestois 29,
300,30,09/04/2023 15:00,Stade de l'Aube,ESTAC Troyes,Clermont Foot 63,
301,31,16/04/2023 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Nantes,
302,31,16/04/2023 15:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,
303,31,16/04/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,Angers SCO,
304,31,16/04/2023 15:00,Stade Pierre-Mauroy,LOSC Lille,Montpellier Hérault SC,
305,31,16/04/2023 15:00,Stade Vélodrome,Olympique de Marseille,ESTAC Troyes,
306,31,16/04/2023 15:00,Stade Louis II,AS Monaco,FC Lorient,
307,31,16/04/2023 15:00,Parc des Princes,Paris Saint-Germain,RC Lens,
308,31,16/04/2023 15:00,Roazhon Park,Stade Rennais FC,Stade de Reims,
309,31,16/04/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,AC Ajaccio,
310,31,16/04/2023 15:00,Stadium de Toulouse,Toulouse FC,Olympique Lyonnais,
311,32,23/04/2023 15:00,Stade François Coty,AC Ajaccio,Stade Brestois 29,
312,32,23/04/2023 15:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,
313,32,23/04/2023 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,LOSC Lille,
314,32,23/04/2023 15:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,
315,32,23/04/2023 15:00,Stade du Moustoir,FC Lorient,Toulouse FC,
316,32,23/04/2023 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,
317,32,23/04/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,
318,32,23/04/2023 15:00,Stade de la Beaujoire,FC Nantes,ESTAC Troyes,
319,32,23/04/2023 15:00,Stade de Nice,OGC Nice,Clermont Foot 63,
320,32,23/04/2023 15:00,Stade Auguste-Delaune,Stade de Reims,RC Strasbourg Alsace,
321,33,30/04/2023 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,
322,33,30/04/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade de Reims,
323,33,30/04/2023 15:00,Stade Pierre-Mauroy,LOSC Lille,AC Ajaccio,
324,33,30/04/2023 15:00,Stade Vélodrome,Olympique de Marseille,AJ Auxerre,
325,33,30/04/2023 15:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,
326,33,30/04/2023 15:00,Parc des Princes,Paris Saint-Germain,FC Lorient,
327,33,30/04/2023 15:00,Roazhon Park,Stade Rennais FC,Angers SCO,
328,33,30/04/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,
329,33,30/04/2023 15:00,Stadium de Toulouse,Toulouse FC,RC Lens,
330,33,30/04/2023 15:00,Stade de l'Aube,ESTAC Troyes,OGC Nice,
331,34,07/05/2023 15:00,Stade François Coty,AC Ajaccio,Toulouse FC,
332,34,07/05/2023 15:00,Stade Raymond Kopa,Angers SCO,AS Monaco,
333,34,07/05/2023 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Clermont Foot 63,
334,34,07/05/2023 15:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,
335,34,07/05/2023 15:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,
336,34,07/05/2023 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,Montpellier Hérault SC,
337,34,07/05/2023 15:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,
338,34,07/05/2023 15:00,Stade de Nice,OGC Nice,Stade Rennais FC,
339,34,07/05/2023 15:00,Stade Auguste-Delaune,Stade de Reims,LOSC Lille,
340,34,07/05/2023 15:00,Stade de l'Aube,ESTAC Troyes,Paris Saint-Germain,
341,35,14/05/2023 15:00,Stade Francis-Le Blé,Stade Brestois 29,AJ Auxerre,
342,35,14/05/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique Lyonnais,
343,35,14/05/2023 15:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,
344,35,14/05/2023 15:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,
345,35,14/05/2023 15:00,Stade Louis II,AS Monaco,LOSC Lille,
346,35,14/05/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,FC Lorient,
347,35,14/05/2023 15:00,Parc des Princes,Paris Saint-Germain,AC Ajaccio,
348,35,14/05/2023 15:00,Roazhon Park,Stade Rennais FC,ESTAC Troyes,
349,35,14/05/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,
350,35,14/05/2023 15:00,Stadium de Toulouse,Toulouse FC,FC Nantes,
351,36,21/05/2023 15:00,Stade François Coty,AC Ajaccio,Stade Rennais FC,
352,36,21/05/2023 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris Saint-Germain,
