Match Number,Round Number,Date,Location,Home Team,Away Team,Result
80,8,18/09/2022 13:00,Stade Auguste-Delaune,Stade de Reims,AS Monaco,0 - 3
72,8,18/09/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,AC Ajaccio,0 - 1
73,8,18/09/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,ESTAC Troyes,1 - 3
76,8,18/09/2022 15:00,Stade Vélodrome,Olympique de Marseille,Stade Rennais FC,1 - 1
79,8,18/09/2022 15:00,Stade de Nice,OGC Nice,Angers SCO,0 - 1
78,8,18/09/2022 17:05,Stade de la Beaujoire,FC Nantes,RC Lens,0 - 0
75,8,18/09/2022 20:45,Parc Olympique Lyonnais,Olympique Lyonnais,Paris Saint-Germain,0 - 1
82,9,30/09/2022 21:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,0 - 3
88,9,01/10/2022 17:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,1 - 3
87,9,01/10/2022 21:00,Parc des Princes,Paris Saint-Germain,OGC Nice,2 - 1
85,9,02/10/2022 13:00,Stade du Moustoir,FC Lorient,LOSC Lille,2 - 1
81,9,02/10/2022 15:00,Stade François Coty,AC Ajaccio,Clermont Foot 63,1 - 3
83,9,02/10/2022 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Brestois 29,1 - 1
89,9,02/10/2022 15:00,Stadium de Toulouse,Toulouse FC,Montpellier Hérault SC,4 - 2
90,9,02/10/2022 15:00,Stade de l'Aube,ESTAC Troyes,Stade de Reims,2 - 2
86,9,02/10/2022 17:05,Stade Louis II,AS Monaco,FC Nantes,4 - 1
84,9,02/10/2022 20:45,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,1 - 0
95,10,07/10/2022 21:00,Parc Olympique Lyonnais,Olympique Lyonnais,Toulouse FC,1 - 1
96,10,08/10/2022 17:00,Stade Vélodrome,Olympique de Marseille,AC Ajaccio,1 - 2
99,10,08/10/2022 21:00,Stade Auguste-Delaune,Stade de Reims,Paris Saint-Germain,0 - 0
97,10,09/10/2022 13:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,0 - 2
91,10,09/10/2022 15:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,2 - 3
92,10,09/10/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Lorient,1 - 2
93,10,09/10/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,AJ Auxerre,2 - 1
98,10,09/10/2022 15:00,Stade de Nice,OGC Nice,ESTAC Troyes,3 - 2
100,10,09/10/2022 17:05,Roazhon Park,Stade Rennais FC,FC Nantes,3 - 0
